"Channel1","Channel2","Channel3","Channel4","Channel5","Channel6","Channel7","Channel8","Channel9","Channel10","Channel11","Channel12","Channel13","Channel14","Channel15","Channel16","Channel17","Channel18","Channel19","Channel20","Channel21","Channel22","Channel23","Channel24","Channel25","Channel26","Channel27","Channel28","Channel29","Channel30","Channel31","Channel32","Channel33","Channel34","Channel35","Channel36","Channel37","Channel38","Channel39","Channel40","Channel41","Channel42","Channel43","Channel44","Channel45","Channel46","Channel47","Channel48","Channel49","Channel50","Channel51","Channel52","Channel53","Channel54","Channel55","Channel56","Channel57","Channel58","Channel59","Channel60","Channel61","Channel62","Channel63","Channel64","Channel65","Channel66","Channel67","Channel68","Channel69","Channel70","Channel71","Channel72","Channel73","Channel74","Channel75","Channel76","Channel77","Channel78","Channel79","Channel80","Channel81","Channel82","Channel83","Channel84","Channel85","Channel86","Channel87","Channel88","Channel89","Channel90","Channel91","Channel92","Channel93","Channel94","Channel95","Channel96","Channel97","Channel98","Channel99","Channel100","Channel101","Channel102","Channel103","Channel104","Channel105","Channel106","Channel107","Channel108","Channel109","Channel110","Channel111","Channel112","Channel113","Channel114","Channel115","Channel116","Channel117","Channel118","Channel119","Channel120","Channel121","Channel122","Channel123","Channel124","Channel125","Channel126","Channel127","Channel128"
4,18,56,94,77,54,57,56,42,26,24,30,11,9,24,11,14,13,6,6,5,11,4,3,5,3,3,2,6,4,4,5,2,1,4,7,3,1,5,3,5,1,4,1,3,4,1,3,6,2,0,1,2,1,5,2,2,0,4,0,3,2,0,0,1,1,2,1,1,1,6,2,2,3,2,1,0,0,0,0,2,3,1,1,2,0,1,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11,15,66,81,79,66,42,49,39,33,25,29,21,20,14,17,11,11,9,7,7,10,9,5,3,3,4,5,5,6,7,8,3,3,4,4,3,0,3,3,0,5,1,1,6,0,2,2,1,2,0,2,0,1,2,0,1,1,3,2,2,2,1,0,0,2,1,1,2,1,5,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,19,65,86,86,64,42,57,40,23,27,27,27,18,20,10,21,17,4,10,14,9,7,6,3,4,6,2,6,7,6,4,3,0,2,2,4,3,2,3,3,1,3,3,2,1,3,3,1,1,1,2,0,2,3,4,1,3,4,2,0,2,1,1,1,1,1,1,3,2,3,3,2,2,1,0,0,1,1,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,17,53,90,97,67,56,29,40,34,28,26,17,22,15,15,22,12,11,12,7,8,4,5,4,1,3,5,5,5,3,4,4,1,2,4,3,5,2,1,4,1,3,4,3,1,5,4,1,0,2,2,4,5,0,4,1,2,0,0,2,2,1,0,1,1,1,3,1,3,2,3,2,1,0,0,1,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,19,54,97,91,73,52,48,34,28,28,29,23,17,11,13,11,11,10,10,4,3,10,6,5,1,8,9,8,3,4,3,0,3,5,7,5,3,2,2,2,3,1,0,1,1,3,2,2,0,0,3,0,1,2,7,1,5,1,1,1,1,2,0,1,0,0,3,1,4,1,3,0,2,1,0,1,1,0,0,1,1,0,2,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1
3,19,60,94,66,59,56,43,46,41,29,23,19,17,28,14,15,13,7,7,5,15,8,8,7,2,7,8,10,2,5,8,2,1,2,3,3,3,2,4,0,2,3,4,6,6,3,1,1,1,4,2,2,2,1,0,1,2,0,2,1,1,1,1,0,2,0,1,3,5,6,2,2,0,0,0,2,0,0,0,0,1,1,1,2,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15,57,89,90,68,55,48,42,29,25,19,20,26,15,11,19,10,6,9,4,11,6,4,8,2,6,3,6,7,4,4,2,3,1,2,1,2,7,2,2,2,2,4,1,6,4,2,4,1,1,1,0,4,4,2,1,0,1,2,2,3,1,0,0,2,1,0,1,3,3,2,3,1,1,0,1,2,2,0,0,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
4,26,54,89,75,87,59,48,29,39,27,23,22,21,19,22,19,14,10,9,5,6,6,7,9,4,2,6,8,9,6,4,4,3,1,3,2,2,5,0,3,4,3,3,1,4,3,0,1,3,0,1,2,3,3,1,1,1,0,4,0,3,2,0,1,1,1,3,4,1,5,0,1,2,1,0,1,1,1,0,3,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
6,18,61,88,87,67,54,41,35,33,27,36,22,21,16,17,14,10,17,10,9,5,9,5,5,8,10,9,8,8,7,8,2,3,1,4,3,3,3,4,5,1,2,2,0,2,3,0,3,2,0,2,2,2,0,2,1,3,1,0,1,2,0,3,2,2,0,3,2,1,2,8,1,5,2,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,68,105,98,61,72,46,46,21,32,27,25,17,16,11,12,13,10,9,5,11,3,7,6,5,5,7,5,9,2,3,0,5,2,2,3,4,2,4,1,1,3,6,4,0,1,5,4,0,1,2,3,5,5,4,3,3,3,1,0,0,1,1,0,1,1,2,2,6,6,4,4,0,2,0,0,2,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,19,54,99,93,57,56,51,35,40,25,36,29,19,15,19,19,12,11,13,4,6,12,6,4,3,6,8,7,8,7,6,3,7,4,1,2,3,3,3,3,2,4,0,4,3,0,4,2,3,1,2,2,1,3,0,3,2,4,1,2,0,2,4,0,0,2,0,2,2,1,3,3,4,0,1,0,0,1,0,0,0,1,0,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,2,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1
5,22,44,94,105,71,66,49,28,37,24,30,19,19,14,12,14,23,14,8,4,7,7,3,6,6,6,11,7,12,5,6,6,4,3,2,2,4,4,7,1,1,2,3,3,1,7,3,3,0,1,1,2,2,5,3,2,2,1,0,2,4,0,1,1,3,1,3,0,4,3,2,0,2,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
7,12,63,90,84,71,56,44,29,33,38,33,19,10,14,11,12,15,8,11,10,5,7,8,4,7,8,6,9,10,10,5,13,3,5,5,4,4,6,2,2,2,2,5,2,2,3,3,1,2,0,4,2,2,4,3,3,1,3,1,2,2,0,1,2,0,3,5,1,2,2,4,0,1,2,0,0,0,0,0,0,1,1,1,1,0,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,24,58,106,105,71,70,42,34,35,34,25,19,18,5,19,12,15,13,5,8,7,8,8,6,3,10,7,13,6,7,1,5,3,2,2,0,6,8,0,1,4,4,4,2,1,3,0,1,1,4,1,0,2,3,2,1,0,3,0,4,3,0,1,2,2,1,1,4,2,5,2,1,0,2,0,0,0,0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0
2,18,57,90,89,69,74,47,44,41,31,21,26,14,24,19,17,16,14,7,4,11,1,5,11,3,6,6,7,13,4,3,3,0,3,5,2,2,4,0,2,3,2,2,4,1,3,4,0,1,1,1,2,4,2,3,1,2,1,2,2,2,2,0,0,1,5,0,3,1,6,0,2,4,0,1,0,1,0,2,2,0,0,1,2,1,1,2,1,1,1,0,0,1,1,2,0,0,0,0,0,2,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
7,26,61,110,97,64,66,62,47,50,25,32,25,18,15,18,19,13,5,9,11,8,7,5,10,5,10,4,7,13,6,3,1,2,4,3,2,1,6,2,2,3,1,1,1,3,4,3,3,0,1,2,1,1,3,5,3,1,4,0,1,2,1,3,2,2,2,3,2,2,5,6,6,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20,62,89,86,74,45,44,50,37,31,36,21,17,18,14,16,14,17,12,4,12,7,7,4,7,8,10,14,7,5,6,1,2,5,2,1,4,2,2,0,2,2,3,4,3,7,2,1,3,3,1,2,2,3,3,0,4,1,0,0,1,1,0,1,2,2,1,2,2,6,3,1,0,0,1,0,2,0,2,1,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,17,57,113,95,67,66,48,43,35,23,37,25,21,25,13,20,11,5,12,5,6,8,8,7,4,5,6,8,11,9,6,3,2,1,0,8,4,2,3,2,2,6,1,6,4,2,2,3,4,1,2,5,2,4,3,4,3,0,1,4,4,1,1,1,3,3,3,2,2,6,6,3,0,3,0,1,0,0,1,2,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
8,17,72,94,78,87,78,42,35,43,30,31,33,32,25,7,17,13,9,7,9,9,6,3,7,4,9,6,6,14,2,7,6,4,2,6,1,4,3,3,6,5,0,3,5,2,1,3,3,3,3,3,2,1,2,1,1,2,1,2,7,1,2,0,0,3,1,2,2,4,4,5,1,0,2,1,0,1,1,0,0,0,2,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
5,15,60,117,105,74,59,62,39,34,36,41,31,22,15,21,19,10,11,6,9,9,7,10,9,5,2,8,11,13,11,3,5,3,0,3,3,2,5,2,5,2,1,2,2,2,7,4,0,2,3,2,1,3,2,4,2,3,4,3,2,2,1,1,1,5,1,2,3,5,3,3,3,1,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,2,0
11,24,60,106,97,64,57,48,43,31,42,28,34,19,23,19,17,20,16,6,10,10,12,4,6,4,4,4,5,11,8,5,2,2,3,1,4,2,1,6,3,3,3,2,4,4,0,1,1,0,4,1,3,1,0,2,6,1,2,1,3,0,2,1,1,0,4,2,4,5,8,4,3,1,3,1,1,0,0,0,1,0,1,1,1,2,1,1,0,0,0,1,0,0,1,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18,75,97,105,81,63,51,33,36,36,30,22,24,16,10,18,21,11,11,10,5,6,7,7,7,7,10,6,10,5,4,5,1,2,3,4,4,4,3,2,5,2,2,4,4,1,3,1,4,0,4,4,1,1,0,0,0,0,3,3,1,2,1,1,4,2,6,1,3,3,4,3,2,0,0,1,1,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,24,69,114,115,71,61,57,50,33,50,20,23,25,15,17,25,15,10,11,11,4,8,5,6,5,4,7,7,10,7,2,4,3,1,6,4,4,5,1,3,3,5,4,4,7,2,2,4,2,0,1,3,2,5,2,2,3,4,0,1,1,2,1,1,3,0,3,0,4,4,6,2,1,0,0,1,2,1,0,0,0,0,1,1,3,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
3,16,60,107,126,81,61,51,46,38,40,25,20,20,20,13,24,20,11,8,7,11,8,7,4,6,4,10,4,11,5,2,4,4,1,3,3,4,2,2,6,0,7,3,6,5,3,0,2,2,1,2,4,3,6,3,2,2,2,1,5,1,3,0,1,2,1,1,5,2,3,4,3,2,3,3,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
8,24,79,124,104,94,67,83,60,55,40,24,36,28,18,17,14,17,9,10,9,3,10,11,7,11,3,6,9,4,7,2,4,8,4,4,2,3,5,4,1,3,0,3,1,1,2,3,4,1,1,0,1,2,6,2,2,4,0,3,5,3,1,1,3,2,1,3,1,8,4,7,1,2,0,2,0,0,1,1,1,1,0,0,0,1,1,2,0,1,1,1,1,0,0,0,0,0,0,1,2,0,1,1,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,17,76,129,106,82,83,52,49,41,36,37,23,20,23,20,22,21,13,10,8,14,4,8,8,6,6,4,12,12,6,5,2,2,4,3,2,6,3,2,3,0,0,3,3,2,6,1,1,2,1,6,3,2,2,3,0,7,0,2,3,0,1,0,2,0,2,1,1,4,3,3,1,2,0,1,1,1,0,0,2,1,1,2,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,21,61,133,112,79,78,67,62,50,44,23,24,19,25,23,22,13,10,10,10,11,4,10,9,8,4,11,9,13,3,11,1,4,1,3,4,4,2,4,4,3,0,1,4,2,3,4,2,0,0,1,1,9,3,2,2,2,1,2,1,3,3,1,1,1,3,1,3,6,5,5,0,1,2,2,1,0,0,2,0,0,0,1,2,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,3,0,0,0,1
4,23,78,107,98,90,69,64,42,47,40,35,36,14,19,20,21,15,12,9,8,8,5,8,15,12,5,5,11,4,7,6,15,4,2,5,7,7,4,2,1,3,2,5,7,2,0,5,4,1,4,1,0,1,2,1,2,6,3,2,0,3,1,1,1,2,3,2,3,2,4,2,1,0,1,0,1,0,1,0,0,1,1,2,0,1,1,1,1,0,1,0,0,1,0,0,0,2,0,0,1,2,0,0,1,0,1,1,1,2,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12,22,72,112,124,91,81,64,44,35,34,31,32,18,23,18,21,18,6,13,4,13,8,9,9,9,3,11,8,10,5,5,6,8,5,6,9,5,3,7,3,5,2,6,0,1,5,3,2,3,3,5,5,3,3,2,3,2,2,1,0,2,3,2,1,1,0,2,2,5,8,5,1,2,2,2,0,1,2,1,0,0,1,1,1,2,2,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,2,1
6,21,65,127,111,101,52,57,55,50,39,41,28,24,25,22,24,30,8,12,9,8,6,9,8,4,8,9,11,14,6,3,3,1,2,5,3,4,2,4,3,5,4,7,4,5,1,1,2,3,3,1,3,4,4,4,2,4,2,0,2,2,1,1,2,2,1,1,4,2,6,2,1,3,0,0,2,0,2,0,0,0,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2
7,28,82,117,116,82,92,71,63,46,32,31,42,13,26,22,26,16,9,14,12,11,7,10,9,6,8,11,11,16,11,8,7,3,3,7,2,3,6,4,4,4,4,9,7,3,6,2,2,5,2,2,1,1,7,0,4,3,4,1,3,2,2,1,2,4,3,4,3,4,6,6,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1
5,22,85,129,116,89,73,66,58,52,41,44,38,30,30,15,20,20,10,10,3,5,11,15,13,11,7,12,14,12,6,8,5,5,0,0,10,3,5,4,5,0,6,1,5,3,0,4,3,1,0,3,2,2,3,2,1,1,4,2,1,1,1,2,0,0,0,2,5,3,2,3,1,2,1,0,2,0,1,1,0,1,1,2,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,1,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,2,0
4,19,71,123,106,88,95,73,58,41,30,50,28,29,22,25,24,22,21,16,16,3,14,6,3,6,7,13,7,17,4,8,3,2,7,5,5,1,1,5,2,1,2,4,7,6,1,2,1,4,0,2,4,5,5,2,2,1,2,3,0,0,4,1,2,1,1,4,4,3,8,6,1,2,2,1,1,2,1,2,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1
5,24,73,150,122,80,86,59,50,40,31,35,27,23,21,27,24,23,10,11,14,12,12,8,11,6,10,11,12,20,6,4,5,1,1,6,6,8,5,3,4,3,6,6,7,4,3,2,0,5,1,2,2,1,6,1,1,1,1,3,2,3,2,1,3,4,0,3,3,0,5,7,1,1,0,4,0,0,1,0,3,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1
7,22,82,120,115,93,83,63,62,40,46,48,36,20,27,29,15,16,15,11,8,7,7,5,9,8,9,15,9,13,5,3,5,2,1,8,3,5,6,6,1,2,5,0,6,2,2,4,1,2,4,6,4,0,4,1,3,6,2,3,1,1,2,0,1,1,1,5,5,4,4,5,5,2,1,1,1,0,1,1,1,0,3,3,0,3,2,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
5,18,77,117,99,76,71,65,49,42,39,53,22,22,34,21,23,20,18,14,12,10,2,5,9,10,7,12,12,13,8,8,4,3,7,4,2,3,3,7,5,2,2,8,8,3,3,5,1,4,5,1,1,4,5,0,4,4,3,3,1,4,1,0,3,1,1,3,2,2,5,5,6,6,2,0,0,1,0,0,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,81,130,95,91,67,51,57,46,37,38,26,27,31,16,20,18,8,10,12,13,5,16,4,6,9,6,10,11,14,2,2,4,8,6,3,9,4,4,6,2,2,8,3,5,4,4,2,4,4,1,2,4,3,1,2,3,3,3,3,3,2,0,0,3,0,4,0,2,5,5,1,1,1,0,1,0,0,1,1,0,0,3,2,0,2,2,1,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,14,84,105,108,86,73,70,53,38,35,35,26,32,27,23,26,14,14,12,13,10,11,11,5,10,8,13,13,9,9,7,2,2,8,4,4,2,5,4,4,4,2,4,3,4,1,4,3,2,2,3,5,1,6,5,4,4,0,4,5,1,0,1,2,2,1,6,5,6,4,1,1,3,1,0,2,1,1,1,1,0,1,1,1,3,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2
5,24,60,113,95,84,68,61,40,53,37,37,26,18,22,18,22,10,14,4,8,9,11,12,4,2,7,7,9,9,11,9,6,3,5,3,6,5,4,3,2,3,3,4,3,1,2,3,2,0,3,0,3,3,6,0,0,4,2,2,1,1,1,1,2,0,4,2,3,3,7,6,3,5,1,0,0,1,0,0,1,0,3,1,5,3,0,0,1,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,19,81,122,101,87,83,62,52,33,42,39,26,23,16,20,24,18,8,13,9,3,10,9,3,9,3,9,12,11,3,4,3,2,2,3,4,4,2,4,4,4,2,3,3,2,1,5,4,1,3,1,1,3,5,4,1,0,2,3,2,1,1,1,3,1,1,2,1,2,5,8,4,3,1,0,0,1,0,1,0,0,1,1,3,1,0,3,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,2,0,2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
8,23,75,117,112,77,78,58,58,46,31,31,25,27,20,21,21,12,12,3,6,11,8,4,4,8,8,7,10,12,6,2,5,5,4,6,4,1,5,3,4,5,6,4,3,5,2,4,3,2,2,2,2,3,4,1,2,2,1,3,2,1,1,1,1,1,2,4,1,2,3,4,1,0,1,1,1,0,0,0,0,1,0,0,1,3,0,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
8,25,60,98,108,82,66,58,52,30,42,34,20,17,12,19,20,21,12,8,9,9,4,5,3,9,7,10,4,10,11,8,6,2,0,2,6,4,7,6,4,2,1,3,2,3,1,2,0,3,1,1,4,1,1,3,3,1,1,1,3,1,1,0,2,2,1,3,2,5,5,5,3,2,4,0,0,0,2,1,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4,25,63,119,96,69,66,43,46,51,48,38,21,24,21,23,14,20,11,8,11,6,6,10,11,8,3,8,4,12,9,5,2,2,6,4,2,3,2,3,5,3,0,6,3,3,2,1,3,5,2,1,1,1,3,2,0,1,2,1,1,2,1,3,2,0,1,0,5,2,2,3,1,1,0,3,0,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
5,29,71,119,96,79,67,55,40,29,38,43,20,21,16,20,17,15,7,5,5,12,13,4,6,5,7,9,7,18,9,7,5,3,1,2,3,2,6,2,2,0,6,0,3,2,4,3,1,1,3,2,4,1,2,3,1,1,3,1,7,2,1,0,2,2,0,1,4,4,3,4,1,2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2,24,67,99,104,82,77,47,60,37,30,35,36,21,16,22,15,15,15,7,10,6,8,9,8,4,4,8,7,7,4,6,2,2,2,1,2,5,3,3,1,5,4,6,9,5,2,1,3,2,3,4,5,1,1,2,1,5,0,3,2,1,2,1,1,2,4,0,5,2,5,2,2,2,4,1,0,0,0,0,0,0,1,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,22,73,98,95,90,71,58,48,43,42,34,33,25,20,12,20,19,14,17,13,8,7,9,7,7,5,5,6,12,7,0,4,3,1,4,2,4,1,3,4,1,1,4,2,2,3,5,3,4,3,2,2,4,1,1,1,0,0,4,0,3,1,0,1,0,3,1,2,3,3,2,2,0,1,0,0,1,1,2,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,75,99,104,89,65,40,51,41,36,33,23,19,24,19,25,12,8,8,13,7,6,7,5,7,3,5,10,7,6,3,4,1,6,2,0,6,0,9,4,2,3,1,5,2,2,4,1,2,1,4,1,1,4,4,4,1,1,1,1,1,4,0,0,0,2,2,1,4,6,2,2,2,1,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,19,55,113,99,79,55,51,63,36,27,29,21,5,17,11,16,20,7,6,9,9,8,3,5,4,7,6,8,7,7,7,8,4,8,5,2,5,2,6,1,3,3,3,3,7,3,3,1,1,1,2,5,2,0,2,5,1,1,1,0,2,0,1,0,3,7,0,6,6,5,3,4,1,1,0,0,0,0,0,2,1,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1
6,16,76,114,96,81,52,45,45,31,30,33,23,23,17,16,15,16,8,11,8,8,4,5,3,7,8,4,9,6,2,3,8,5,4,5,5,7,1,2,0,3,4,2,1,2,6,1,2,2,4,0,2,0,4,2,2,4,1,2,1,0,1,2,2,1,2,4,4,2,9,6,3,4,0,1,0,1,1,0,0,1,1,1,3,0,3,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
5,20,67,101,100,82,45,50,53,31,40,31,23,22,28,11,23,7,8,6,5,6,8,5,0,5,2,5,11,4,4,4,1,3,4,3,3,3,3,5,2,2,5,1,7,5,4,2,1,0,2,3,3,1,3,2,3,2,2,1,0,3,1,0,0,0,1,3,4,5,6,5,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2,25,68,123,91,76,64,40,44,48,37,26,27,12,25,12,20,8,11,7,10,6,7,13,3,8,3,7,11,7,9,3,2,3,4,2,4,2,2,2,2,7,2,4,6,2,8,1,3,0,1,4,2,2,1,3,0,2,1,1,1,5,2,0,0,2,2,4,3,1,4,2,3,1,1,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
4,11,60,85,79,84,60,55,34,36,28,28,26,13,14,18,17,14,5,9,7,5,4,4,2,2,8,4,5,7,6,3,1,2,9,3,2,3,4,2,1,3,2,2,2,0,1,3,4,2,0,1,4,2,3,2,1,1,0,0,4,1,1,3,1,0,3,0,2,4,6,1,2,1,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
